iter	MAPE	RMSE
0	1.115508974	805381.3222
1	0.7462589876	629267.6983
2	0.5504487275	530833.7765
3	0.5493096293	519344.2358
4	0.4635537575	478866.5495
5	0.4582061133	468656.1813
6	0.4579426944	461105.4852
7	0.4574755992	453801.5834
8	0.4554820541	449373.4985
9	0.4324024174	422541.9429
10	0.3773915284	403561.0168
11	0.3762314634	399159.8057
12	0.3609148455	385813.7852
13	0.3604843702	383181.3643
14	0.3504186184	371284.3573
15	0.3280472394	359857.6699
16	0.3281876832	358052.9083
17	0.3260362332	350961.7739
18	0.3155699004	344144.734
19	0.3127180172	333460.5274
20	0.3055041749	324328.6886
21	0.3049963443	321797.7951
22	0.3039317248	313254.717
23	0.3027798746	308931.8077
24	0.302557422	307779.6364
25	0.2903005459	302413.3095
26	0.2897094109	298878.7254
27	0.2878156897	294128.4298
28	0.286095059	289384.3774
29	0.2860317097	288681.3918
30	0.2800201868	284461.2464
31	0.2799472932	283770.3181
32	0.2769622278	281196.7065
33	0.2716866909	278138.0732
34	0.266541335	276300.6513
35	0.2664774256	275844.2635
36	0.2669393372	271274.7093
37	0.259572398	268351.6072
38	0.2563750274	265713.4291
39	0.2562797101	265273.3379
40	0.2547595427	263159.6809
41	0.254733563	262650.1459
42	0.2549459719	261216.0423
43	0.2527445738	259088.6863
44	0.2432087524	256193.442
45	0.2429127984	254758.0275
46	0.2424411367	252501.706
47	0.2412914411	250666.5747
48	0.2412182915	249660.1444
49	0.2408942611	247665.0193
